"datetime_id","date_id","date","hour","volume_of_ISSR","num_of_ISSR","floor","ceiling","south_id","north_id","south","north","west_id","east_id","west","east"
2737,115,20200908,0,0.242599742599743,1508,35000,17500,1,112,18.0554209843524,58.0889666286379,6,149,-135.00969276414,-58.6978929976015
2738,115,20200908,1,0.218629343629344,1359,35000,17500,1,112,17.5481524930715,58.0633874224254,7,150,-134.665942706427,-58.8405949526556
2739,115,20200908,2,0.188223938223938,1170,35000,17500,1,112,17.5481524930715,57.8606226566179,7,150,-134.370329092306,-59.4631695493461
2740,115,20200908,3,0.158301158301158,984,37500,17500,1,112,18.1144103611382,57.7445775613468,5,150,-135.200793643652,-58.4091662651654
2741,115,20200908,4,0.141409266409266,879,37500,17500,1,112,18.8310657897291,57.7639490117016,6,150,-134.860804492435,-57.883851423368
2742,115,20200908,5,0.153957528957529,957,37500,17500,2,112,18.8310657897291,57.8989882745796,6,150,-134.860804492435,-58.1763087493052
2743,115,20200908,6,0.171010296010296,1063,37500,17500,2,112,18.8310657897291,57.9230084233068,6,150,-134.712988462605,-59.4631695493461
2744,115,20200908,7,0.180984555984556,1125,37500,17500,1,112,19.7986252002286,57.9567024475493,6,150,-134.712988462605,-58.0306440629986
2745,115,20200908,8,0.175836550836551,1093,37500,17500,1,112,18.4726265282534,57.9673052292313,6,150,-134.566233481004,-57.883851423368
2746,115,20200908,9,0.286518661518662,1781,37500,12500,1,112,17.9344848631679,57.9875818922762,1,150,-134.860804492435,-57.883851423368
2747,115,20200908,10,0.296332046332046,1842,37500,12500,1,112,19.6390868257247,57.9875818922762,1,150,-134.517598814556,-58.5540876086507
2748,115,20200908,11,0.272200772200772,1692,37500,17500,1,112,19.6569742587059,58.0328170164315,9,150,-133.530198057326,-57.883851423368
2749,115,20200908,12,0.271557271557272,1688,37500,17500,1,112,19.6738275045109,58.0409249698652,10,150,-132.258235232254,-57.883851423368
2750,115,20200908,13,0.26029601029601,1618,37500,17500,1,112,19.748015409113,58.0562103742149,11,150,-131.44118447139,-57.883851423368
2751,115,20200908,14,0.227155727155727,1412,37500,12500,1,112,17.5905445322334,58.0156601009624,2,150,-131.605336555098,-57.883851423368
2752,115,20200908,15,0.217181467181467,1350,37500,15000,1,112,19.5324772887195,58.0562103742149,1,150,-131.605336555098,-58.6978929976015
2753,115,20200908,16,0.193532818532819,1203,37500,17500,1,112,18.8817257062491,57.9972553706491,8,150,-132.210216165473,-57.883851423368
2754,115,20200908,17,0.212998712998713,1324,37500,17500,1,112,17.4803536966483,57.9776028209053,8,150,-132.210216165473,-63.5281575559365
2755,115,20200908,18,0.247104247104247,1536,37500,17500,1,112,18.229908599688,57.8865143530623,35,150,-121.682746975395,-63.5281575559365
2756,115,20200908,19,0.252895752895753,1572,37500,17500,1,112,17.8725417871959,58.0487261219159,10,150,-131.524208773982,-58.4643045537759
2757,115,20200908,20,0.252091377091377,1567,37500,17500,1,112,17.4803536966483,58.0328170164315,11,150,-131.045636451467,-61.725015485792
2758,115,20200908,21,0.21476833976834,1335,35000,17500,1,112,17.9650781271946,58.1423078856658,10,150,-131.392658335616,-63.3133280171828
2759,115,20200908,22,0.180501930501931,1122,37500,17500,1,112,18.0850295358383,58.1423078856658,9,148,-131.475001517282,-62.2199409688921
2760,115,20200908,23,0.148005148005148,920,37500,17500,1,112,18.0850295358383,58.1423078856658,9,149,-130.915643726527,-62.2132937243933
2761,116,20200909,0,0.161518661518662,1004,37500,17500,1,112,18.0850295358383,58.1413721623897,9,150,-129.623391186308,-60.6189416682352
2762,116,20200909,1,0.140765765765766,875,37500,17500,1,112,18.0255465764379,58.1310783906312,17,148,-126.764293210956,-63.2464021567991
2763,116,20200909,2,0.132239382239382,822,37500,17500,1,112,18.0255465764379,58.1179770226324,18,150,-126.18904727397,-62.0783687006743
2764,116,20200909,3,0.092020592020592,572,37500,17500,1,112,18.1435252030236,58.0768009230066,16,150,-126.675835209382,-59.8407214209061
2765,116,20200909,4,0.0894465894465895,556,37500,17500,1,112,18.2010318074325,58.0633874224254,12,150,-128.499711587284,-62.0783687006743
2766,116,20200909,5,0.0818854568854569,509,37500,17500,1,112,19.5324772887195,57.8316415305076,16,150,-126.895056811957,-62.0783687006743
2767,116,20200909,6,0.0867117117117117,539,37500,17500,1,112,18.1724115561674,58.1251515937008,11,150,-128.838107945588,-59.9728076851425
2768,116,20200909,7,0.0908944658944659,565,37500,17500,1,112,18.1144103611382,58.1179770226324,10,146,-129.407072135201,-64.1860234675602
2769,116,20200909,8,0.100707850707851,626,37500,17500,1,112,19.6651707826759,58.1413721623897,10,150,-131.003499033879,-62.0783687006743
2770,116,20200909,9,0.142052767052767,883,37500,17500,1,110,19.1419383480308,57.4766746619215,9,150,-131.475001517282,-61.5999691614867
2771,116,20200909,10,0.106177606177606,660,37500,17500,1,112,19.7246648313334,58.1310783906312,10,149,-131.003499033879,-61.8444698173673
2772,116,20200909,11,0.106016731016731,659,37500,17500,1,112,19.4588260827847,58.0328170164315,12,150,-128.385457844456,-62.8560396265342
2773,116,20200909,12,0.0992599742599743,617,37500,17500,1,112,19.6297585147742,58.099884544133,12,150,-128.499711587284,-60.7951423001863
2774,116,20200909,13,0.131917631917632,820,37500,17500,1,112,19.6297585147742,58.0768009230066,46,150,-115.392663868506,-60.7291599804732
2775,116,20200909,14,0.136261261261261,847,37500,17500,1,112,19.6297585147742,58.0487261219159,42,150,-117.85091490759,-61.0983939082402
